filename,palsa
764_74_5075_2018_negcrop_45,0.0
764_74_5075_2018_negcrop_46,0.0
764_74_5075_2018_negcrop_47,0.0
764_74_5075_2018_negcrop_50,0.0
763_73_5000_2018_crop_1,0.0
763_73_5000_2018_crop_5,7.75
763_73_5000_2018_crop_18,4.0
763_73_5000_2018_crop_35,0.25
763_73_5000_2018_crop_41,1.75
763_73_5000_2018_crop_46,1.5
763_73_5000_2018_crop_47,3.25
763_73_5000_2018_crop_91,2.25
763_73_5000_2018_crop_92,1.5
763_73_5000_2018_crop_95,1.5
763_73_5000_2018_crop_96,6.75
763_73_5000_2018_crop_109,3.0
763_73_5000_2018_crop_116,0.0
763_73_5000_2018_crop_131,11.25
763_73_5000_2018_crop_143,1.75
763_73_5000_2018_negcrop_2,0.0
763_73_5000_2018_negcrop_5,0.0
763_73_5000_2018_negcrop_7,0.0
763_73_5000_2018_negcrop_9,0.0
763_73_5000_2018_negcrop_10,0.0
763_73_5000_2018_negcrop_11,0.0
763_73_5000_2018_negcrop_12,0.0
763_73_5000_2018_negcrop_13,0.0
763_73_5000_2018_negcrop_14,0.0
763_73_5000_2018_negcrop_15,0.0
763_73_5000_2018_negcrop_16,0.0
763_73_5000_2018_negcrop_17,0.0
763_73_5000_2018_negcrop_18,0.0
763_73_5000_2018_negcrop_19,0.0
763_73_5000_2018_negcrop_20,0.0
763_73_5000_2018_negcrop_21,0.0
763_73_5000_2018_negcrop_23,0.0
763_73_5000_2018_negcrop_26,0.0
763_73_5000_2018_negcrop_27,0.0
763_73_5000_2018_negcrop_28,0.0
758_70_0050_2013_crop_74,6.75
758_70_0050_2013_crop_87,25.0
758_70_0050_2013_crop_91,4.5
758_70_0050_2013_crop_105,6.25
758_70_0050_2013_crop_117,1.5
758_70_0050_2013_crop_118,12.5
758_70_0050_2013_crop_128,0.5
758_70_0050_2013_crop_130,23.25
758_70_0050_2013_crop_142,0.75
758_70_0050_2013_negcrop_0,0.0
758_70_0050_2013_negcrop_1,0.0
758_70_0050_2013_negcrop_2,0.0
758_70_0050_2013_negcrop_4,0.0
758_70_0050_2013_negcrop_5,0.0
758_70_0050_2013_negcrop_6,0.0
758_70_0050_2013_negcrop_7,0.0
758_70_0050_2013_negcrop_8,0.0
758_70_0050_2013_negcrop_9,0.0
758_70_0050_2013_negcrop_10,0.0
758_70_0050_2013_negcrop_14,0.0
758_70_0050_2013_negcrop_16,0.0
758_70_0050_2013_negcrop_18,0.0
758_70_0050_2013_negcrop_19,0.0
750_66_7550_2015_crop_24,2.75
750_66_7550_2015_negcrop_2,0.0
762_73_0050_2018_crop_120,0.0
762_72_2500_2018_crop_61,11.25
762_72_2500_2018_crop_67,0.25
762_72_2500_2018_crop_84,17.75
762_72_2500_2018_crop_85,0.25
762_72_2500_2018_crop_96,3.0
762_72_2500_2018_crop_97,3.25
762_72_2500_2018_negcrop_0,0.0
762_72_2500_2018_negcrop_1,0.0
762_72_2500_2018_negcrop_2,0.0
762_72_2500_2018_negcrop_4,0.0
766_71_0025_2016_crop_72,0.0
761_72_0050_2018_crop_15,15.0
761_72_0050_2018_crop_24,0.0
761_72_0050_2018_crop_25,0.0
761_72_0050_2018_crop_27,4.25
761_72_0050_2018_crop_47,4.25
761_72_0050_2018_crop_48,6.5
761_72_0050_2018_crop_51,1.5
761_72_0050_2018_crop_53,0.0
761_72_0050_2018_crop_61,2.0
761_72_0050_2018_crop_66,0.0
761_72_0050_2018_crop_83,1.5
761_72_0050_2018_crop_85,30.0
761_72_0050_2018_crop_86,1.5
761_72_0050_2018_crop_87,3.5
761_72_0050_2018_crop_96,46.75
761_72_0050_2018_crop_97,36.5
761_72_0050_2018_crop_98,8.25
761_72_0050_2018_crop_101,1.0
761_72_0050_2018_crop_104,1.25
761_72_0050_2018_crop_106,4.0
761_72_0050_2018_crop_109,8.75
761_72_0050_2018_crop_110,11.75
761_72_0050_2018_crop_111,3.5
761_72_0050_2018_crop_112,0.25
761_72_0050_2018_crop_118,0.0
761_72_0050_2018_crop_119,24.25
761_72_0050_2018_crop_120,11.5
761_72_0050_2018_crop_121,0.0
761_72_0050_2018_crop_122,8.5
761_72_0050_2018_crop_123,3.5
761_72_0050_2018_crop_129,2.75
761_72_0050_2018_crop_130,1.0
761_72_0050_2018_crop_131,33.5
761_72_0050_2018_crop_132,1.0
761_72_0050_2018_crop_133,0.0
761_72_0050_2018_crop_136,6.5
761_72_0050_2018_crop_137,0.5
761_72_0050_2018_negcrop_1,0.0
761_72_0050_2018_negcrop_2,0.0
761_72_0050_2018_negcrop_3,0.0
761_72_0050_2018_negcrop_4,0.0
761_72_0050_2018_negcrop_5,0.0
761_72_0050_2018_negcrop_6,0.0
761_72_0050_2018_negcrop_7,0.0
761_72_0050_2018_negcrop_10,0.0
761_72_0050_2018_negcrop_11,0.0
761_72_0050_2018_negcrop_12,0.0
761_72_0050_2018_negcrop_13,0.0
761_72_0050_2018_negcrop_14,0.0
761_72_0050_2018_negcrop_17,0.0
761_72_0050_2018_negcrop_18,0.0
761_72_0050_2018_negcrop_20,0.0
761_72_0050_2018_negcrop_22,0.0
761_72_0050_2018_negcrop_24,0.0
761_72_0050_2018_negcrop_26,0.0
761_72_0050_2018_negcrop_27,0.0
761_72_0050_2018_negcrop_28,0.0
761_72_0050_2018_negcrop_31,0.0
761_72_0050_2018_negcrop_32,0.0
761_72_0050_2018_negcrop_36,0.0
761_72_0050_2018_negcrop_37,0.0
761_72_0050_2018_negcrop_38,0.0
761_72_0050_2018_negcrop_39,0.0
761_72_0050_2018_negcrop_40,0.0
761_72_0050_2018_negcrop_41,0.0
761_72_0050_2018_negcrop_42,0.0
761_72_0050_2018_negcrop_45,0.0
761_72_0050_2018_negcrop_46,0.0
761_72_0050_2018_negcrop_51,0.0
761_72_0050_2018_negcrop_53,0.0
761_72_0050_2018_negcrop_54,0.0
761_72_0050_2018_negcrop_55,0.0
762_73_7525_2018_crop_94,0.0
758_69_5050_2014_crop_67,3.0
754_67_7550_2015_crop_7,0.25
754_67_7550_2015_crop_12,11.75
754_67_7550_2015_crop_32,3.25
754_67_7550_2015_crop_38,8.5
754_67_7550_2015_crop_42,0.75
754_67_7550_2015_crop_43,0.5
754_67_7550_2015_crop_49,13.25
754_67_7550_2015_crop_50,4.25
754_67_7550_2015_crop_65,25.5
754_67_7550_2015_crop_68,0.0
754_67_7550_2015_crop_76,2.0
754_67_7550_2015_crop_77,8.75
754_67_7550_2015_crop_79,0.5
754_67_7550_2015_crop_84,1.0
754_67_7550_2015_crop_85,6.25
754_67_7550_2015_crop_91,2.75
754_67_7550_2015_crop_92,2.25
754_67_7550_2015_crop_97,25.25
754_67_7550_2015_crop_98,25.5
754_67_7550_2015_crop_109,3.5
754_67_7550_2015_crop_110,8.0
754_67_7550_2015_negcrop_3,0.0
754_67_7550_2015_negcrop_4,0.0
754_67_7550_2015_negcrop_5,0.0
754_67_7550_2015_negcrop_6,0.0
754_67_7550_2015_negcrop_8,0.0
754_67_7550_2015_negcrop_10,0.0
754_67_7550_2015_negcrop_11,0.0
754_67_7550_2015_negcrop_12,0.0
754_67_7550_2015_negcrop_13,0.0
754_67_7550_2015_negcrop_14,0.0
754_67_7550_2015_negcrop_17,0.0
754_67_7550_2015_negcrop_19,0.0
754_67_7550_2015_negcrop_20,0.0
754_67_7550_2015_negcrop_22,0.0
754_67_7550_2015_negcrop_24,0.0
754_67_7550_2015_negcrop_27,0.0
754_67_7550_2015_negcrop_30,0.0
754_67_7550_2015_negcrop_31,0.0
754_67_7550_2015_negcrop_33,0.0
754_67_7550_2015_negcrop_34,0.0
762_72_2525_2018_crop_116,0.75
762_72_2525_2018_crop_117,0.25
762_72_2525_2018_crop_129,0.25
762_72_2525_2018_crop_130,0.0
762_72_2525_2018_crop_141,0.0
762_72_2525_2018_crop_142,0.0
762_72_2525_2018_negcrop_1,0.0
762_72_2525_2018_negcrop_2,0.0
762_72_2525_2018_negcrop_4,0.0
762_72_2525_2018_negcrop_5,0.0
762_72_2525_2018_negcrop_6,0.0
759_72_7525_2013_crop_32,0.75
759_72_7525_2013_crop_86,0.5
759_72_7525_2013_crop_101,0.0
759_72_7525_2013_crop_113,0.0
759_72_7525_2013_crop_130,0.25
759_72_7525_2013_crop_143,2.5
759_72_7525_2013_negcrop_0,0.0
759_72_7525_2013_negcrop_5,0.0
759_72_7525_2013_negcrop_6,0.0
759_72_7525_2013_negcrop_7,0.0
759_72_7525_2013_negcrop_9,0.0
759_72_7525_2013_negcrop_10,0.0
762_75_5075_2015_crop_70,3.0
751_67_5075_2015_crop_132,0.0
751_67_5075_2015_negcrop_0,0.0
751_67_5075_2015_negcrop_1,0.0
760_72_2525_2018_crop_5,0.0
760_72_2525_2018_crop_27,1.5
760_72_2525_2018_crop_36,3.25
760_72_2525_2018_crop_39,4.25
760_72_2525_2018_crop_43,0.75
760_72_2525_2018_crop_46,1.25
760_72_2525_2018_crop_59,0.5
760_72_2525_2018_crop_67,0.0
760_72_2525_2018_crop_70,1.5
760_72_2525_2018_crop_76,2.25
760_72_2525_2018_crop_78,0.0
760_72_2525_2018_crop_82,11.0
760_72_2525_2018_crop_93,0.25
760_72_2525_2018_crop_94,1.0
760_72_2525_2018_crop_104,2.0
760_72_2525_2018_crop_105,3.0
760_72_2525_2018_crop_106,1.25
760_72_2525_2018_crop_117,1.25
760_72_2525_2018_negcrop_0,0.0
760_72_2525_2018_negcrop_1,0.0
760_72_2525_2018_negcrop_2,0.0
760_72_2525_2018_negcrop_5,0.0
760_72_2525_2018_negcrop_6,0.0
760_72_2525_2018_negcrop_8,0.0
760_72_2525_2018_negcrop_9,0.0
760_72_2525_2018_negcrop_10,0.0
760_72_2525_2018_negcrop_11,0.0
760_72_2525_2018_negcrop_13,0.0
760_72_2525_2018_negcrop_14,0.0
760_72_2525_2018_negcrop_16,0.0
760_72_2525_2018_negcrop_17,0.0
760_72_2525_2018_negcrop_18,0.0
760_72_2525_2018_negcrop_19,0.0
760_72_2525_2018_negcrop_20,0.0
760_72_2525_2018_negcrop_23,0.0
760_72_2525_2018_negcrop_25,0.0
760_72_2525_2018_negcrop_30,0.0
756_70_2525_2010_crop_50,1.5
756_70_2525_2010_crop_97,1.5
756_70_2525_2010_negcrop_1,0.0
756_70_2525_2010_negcrop_3,0.0
756_70_2525_2010_negcrop_4,0.0
756_70_2525_2010_negcrop_5,0.0
761_70_0050_2018_crop_58,3.25
761_70_0050_2018_crop_71,2.75
761_70_0050_2018_crop_78,1.0
761_70_0050_2018_negcrop_0,0.0
761_70_0050_2018_negcrop_1,0.0
761_70_0050_2018_negcrop_2,0.0
761_70_0050_2018_negcrop_3,0.0
761_70_0050_2018_negcrop_4,0.0
761_70_0050_2018_negcrop_5,0.0
761_70_0050_2018_negcrop_6,0.0
761_70_0050_2018_negcrop_7,0.0
762_74_0050_2018_crop_8,0.75
762_74_0050_2018_crop_17,6.0
762_74_0050_2018_crop_19,23.5
762_74_0050_2018_crop_20,0.0
762_74_0050_2018_crop_30,12.0
762_74_0050_2018_crop_33,3.75
762_74_0050_2018_crop_52,7.75
762_74_0050_2018_negcrop_1,0.0
762_74_0050_2018_negcrop_2,0.0
762_74_0050_2018_negcrop_4,0.0
762_74_0050_2018_negcrop_8,0.0
762_74_0050_2018_negcrop_10,0.0
762_74_0050_2018_negcrop_11,0.0
762_74_0050_2018_negcrop_12,0.0
762_74_0050_2018_negcrop_13,0.0
762_74_0050_2018_negcrop_16,0.0
733_52_2525_2015_crop_13,0.25
733_52_2525_2015_crop_14,0.25
733_52_2525_2015_crop_48,0.0
733_52_2525_2015_negcrop_1,0.0
733_52_2525_2015_negcrop_2,0.0
750_65_7500_2015_crop_80,0.0
750_65_7500_2015_crop_107,1.5
750_65_7500_2015_crop_116,0.25
750_65_7500_2015_negcrop_1,0.0
750_65_7500_2015_negcrop_2,0.0
750_65_7500_2015_negcrop_3,0.0
750_65_7500_2015_negcrop_4,0.0
747_58_0000_2015_crop_96,0.0
747_58_0000_2015_crop_97,0.0
747_58_0000_2015_negcrop_1,0.0
749_68_5050_2014_crop_7,2.0
749_68_5050_2014_crop_19,4.25
749_68_5050_2014_negcrop_2,0.0
750_68_7575_2015_crop_118,0.0
750_68_7575_2015_crop_130,0.0
750_68_7575_2015_negcrop_1,0.0
749_67_7500_2015_crop_32,0.0
749_67_7500_2015_crop_66,0.0
749_67_7500_2015_crop_78,0.0
749_67_7500_2015_crop_89,0.0
749_67_7500_2015_crop_90,0.25
749_67_7500_2015_negcrop_1,0.0
749_67_7500_2015_negcrop_3,0.0
749_67_7500_2015_negcrop_4,0.0
758_74_5000_2013_crop_4,1.25
758_74_5000_2013_crop_17,1.25
758_74_5000_2013_crop_31,0.25
758_74_5000_2013_crop_52,2.5
758_74_5000_2013_crop_64,0.5
758_74_5000_2013_crop_75,1.25
758_74_5000_2013_crop_91,0.25
758_74_5000_2013_crop_105,1.25
758_74_5000_2013_negcrop_0,0.0
758_74_5000_2013_negcrop_1,0.0
758_74_5000_2013_negcrop_2,0.0
758_74_5000_2013_negcrop_4,0.0
758_74_5000_2013_negcrop_5,0.0
758_74_5000_2013_negcrop_6,0.0
758_74_5000_2013_negcrop_8,0.0
751_65_7500_2015_crop_11,2.0
751_65_7500_2015_crop_22,0.0
751_65_7500_2015_negcrop_0,0.0
751_65_7500_2015_negcrop_1,0.0
751_65_7500_2015_negcrop_2,0.0
754_68_7575_2015_crop_99,0.5
754_68_7575_2015_negcrop_0,0.0
754_68_7575_2015_negcrop_1,0.0
754_68_7575_2015_negcrop_2,0.0
758_73_0025_2013_crop_58,1.0
758_73_0025_2013_crop_80,1.0
758_73_0025_2013_crop_92,2.0
758_73_0025_2013_crop_130,0.0
758_73_0025_2013_negcrop_1,0.0
758_73_0025_2013_negcrop_2,0.0
758_73_0025_2013_negcrop_3,0.0
758_73_0025_2013_negcrop_4,0.0
758_73_0025_2013_negcrop_5,0.0
758_73_0025_2013_negcrop_7,0.0
753_67_0050_2014_crop_3,5.75
753_67_0050_2014_negcrop_1,0.0
758_70_2575_2013_crop_9,37.25
758_70_2575_2013_crop_23,8.75
758_70_2575_2013_crop_33,29.5
758_70_2575_2013_crop_35,3.25
758_70_2575_2013_crop_44,1.5
758_70_2575_2013_crop_47,13.75
758_70_2575_2013_crop_54,14.5
758_70_2575_2013_crop_55,1.5
758_70_2575_2013_crop_58,2.75
758_70_2575_2013_crop_59,29.0
758_70_2575_2013_crop_65,0.75
758_70_2575_2013_crop_68,1.75
758_70_2575_2013_crop_71,42.25
758_70_2575_2013_crop_76,8.0
758_70_2575_2013_crop_77,1.25
758_70_2575_2013_crop_80,0.0
758_70_2575_2013_crop_82,35.25
758_70_2575_2013_crop_93,19.75
758_70_2575_2013_crop_97,3.25
758_70_2575_2013_crop_102,29.5
758_70_2575_2013_crop_103,14.0
758_70_2575_2013_crop_109,15.25
758_70_2575_2013_crop_110,18.25
758_70_2575_2013_crop_113,9.75
758_70_2575_2013_crop_114,37.5
758_70_2575_2013_crop_124,1.75
758_70_2575_2013_crop_125,40.75
758_70_2575_2013_crop_126,49.75
758_70_2575_2013_crop_127,12.75
758_70_2575_2013_crop_136,4.75
758_70_2575_2013_negcrop_0,0.0
758_70_2575_2013_negcrop_1,0.0
758_70_2575_2013_negcrop_4,0.0
758_70_2575_2013_negcrop_6,0.0
758_70_2575_2013_negcrop_9,0.0
758_70_2575_2013_negcrop_11,0.0
758_70_2575_2013_negcrop_12,0.0
758_70_2575_2013_negcrop_13,0.0
758_70_2575_2013_negcrop_15,0.0
758_70_2575_2013_negcrop_17,0.0
758_70_2575_2013_negcrop_18,0.0
758_70_2575_2013_negcrop_19,0.0
758_70_2575_2013_negcrop_20,0.0
758_70_2575_2013_negcrop_23,0.0
758_70_2575_2013_negcrop_24,0.0
758_70_2575_2013_negcrop_26,0.0
758_70_2575_2013_negcrop_27,0.0
758_70_2575_2013_negcrop_28,0.0
758_70_2575_2013_negcrop_31,0.0
758_70_2575_2013_negcrop_33,0.0
758_70_2575_2013_negcrop_34,0.0
758_70_2575_2013_negcrop_35,0.0
758_70_2575_2013_negcrop_36,0.0
758_70_2575_2013_negcrop_37,0.0
758_70_2575_2013_negcrop_38,0.0
758_70_2575_2013_negcrop_39,0.0
758_70_2575_2013_negcrop_43,0.0
758_70_2575_2013_negcrop_45,0.0
758_70_2575_2013_negcrop_46,0.0
758_70_2575_2013_negcrop_47,0.0
758_70_2575_2013_negcrop_48,0.0
758_70_2575_2013_negcrop_49,0.0
758_70_2575_2013_negcrop_50,0.0
758_70_2575_2013_negcrop_51,0.0
758_70_2575_2013_negcrop_53,0.0
758_70_2575_2013_negcrop_54,0.0
758_70_2575_2013_negcrop_55,0.0
763_72_2575_2018_crop_85,0.25
763_72_2575_2018_negcrop_0,0.0
761_71_0050_2018_crop_3,1.5
761_71_0050_2018_crop_10,3.0
761_71_0050_2018_crop_25,0.0
761_71_0050_2018_crop_37,5.5
761_71_0050_2018_crop_41,0.0
761_71_0050_2018_crop_48,2.0
761_71_0050_2018_crop_49,4.25
761_71_0050_2018_crop_52,1.25
761_71_0050_2018_crop_54,1.5
761_71_0050_2018_crop_61,0.0
761_71_0050_2018_crop_64,5.25
761_71_0050_2018_crop_65,0.0
761_71_0050_2018_crop_66,0.75
761_71_0050_2018_crop_76,3.75
761_71_0050_2018_crop_88,0.0
761_71_0050_2018_crop_100,4.5
761_71_0050_2018_crop_118,0.25
761_71_0050_2018_negcrop_0,0.0
761_71_0050_2018_negcrop_2,0.0
761_71_0050_2018_negcrop_3,0.0
761_71_0050_2018_negcrop_4,0.0
761_71_0050_2018_negcrop_5,0.0
761_71_0050_2018_negcrop_6,0.0
761_71_0050_2018_negcrop_7,0.0
761_71_0050_2018_negcrop_8,0.0
761_71_0050_2018_negcrop_9,0.0
761_71_0050_2018_negcrop_15,0.0
761_71_0050_2018_negcrop_19,0.0
761_71_0050_2018_negcrop_20,0.0
751_64_7575_2015_crop_59,0.25
751_64_7575_2015_negcrop_0,0.0
751_64_7575_2015_negcrop_1,0.0
763_75_2550_2015_crop_78,6.5
763_75_2550_2015_crop_80,1.0
763_75_2550_2015_crop_88,2.0
763_75_2550_2015_crop_103,5.0
763_75_2550_2015_negcrop_0,0.0
763_75_2550_2015_negcrop_1,0.0
763_75_2550_2015_negcrop_2,0.0
763_75_2550_2015_negcrop_4,0.0
763_75_2550_2015_negcrop_5,0.0
759_74_0050_2013_crop_94,0.25
758_72_0075_2013_crop_46,3.25
758_72_0075_2013_crop_47,3.75
758_72_0075_2013_crop_54,0.0
758_72_0075_2013_crop_56,3.5
758_72_0075_2013_crop_57,8.75
758_72_0075_2013_crop_70,5.0
758_72_0075_2013_crop_82,2.0
758_72_0075_2013_crop_83,2.25
758_72_0075_2013_crop_108,0.0
758_72_0075_2013_crop_134,0.25
758_72_0075_2013_negcrop_0,0.0
758_72_0075_2013_negcrop_1,0.0
758_72_0075_2013_negcrop_4,0.0
758_72_0075_2013_negcrop_7,0.0
758_72_0075_2013_negcrop_8,0.0
758_72_0075_2013_negcrop_10,0.0
758_72_0075_2013_negcrop_11,0.0
758_72_0075_2013_negcrop_12,0.0
758_72_0075_2013_negcrop_13,0.0
758_72_0075_2013_negcrop_14,0.0
758_72_0075_2013_negcrop_15,0.0
758_72_0075_2013_negcrop_16,0.0
758_72_0075_2013_negcrop_17,0.0
758_72_0075_2013_negcrop_18,0.0
758_72_0075_2013_negcrop_19,0.0
761_75_2575_2015_crop_26,2.0
761_75_2575_2015_crop_60,0.5
761_75_2575_2015_crop_82,0.0
761_75_2575_2015_crop_90,0.5
761_75_2575_2015_crop_95,0.0
761_75_2575_2015_crop_102,0.5
761_75_2575_2015_negcrop_4,0.0
761_75_2575_2015_negcrop_6,0.0
761_75_2575_2015_negcrop_8,0.0
756_69_5075_2014_crop_80,0.0
756_69_5075_2014_negcrop_0,0.0
756_69_5075_2014_negcrop_1,0.0
756_69_5075_2014_negcrop_2,0.0
750_69_5025_2015_crop_20,1.0
750_69_5025_2015_negcrop_0,0.0
761_72_5000_2018_crop_24,0.0
761_72_5000_2018_crop_72,0.0
761_72_5000_2018_crop_84,0.0
761_72_5000_2018_crop_97,0.0
761_72_5000_2018_crop_99,7.5
761_72_5000_2018_crop_100,35.0
761_72_5000_2018_crop_102,4.5
761_72_5000_2018_crop_107,3.0
761_72_5000_2018_crop_123,0.25
761_72_5000_2018_crop_133,7.25
761_72_5000_2018_negcrop_0,0.0
761_72_5000_2018_negcrop_2,0.0
761_72_5000_2018_negcrop_3,0.0
761_72_5000_2018_negcrop_6,0.0
761_72_5000_2018_negcrop_10,0.0
761_72_5000_2018_negcrop_11,0.0
761_72_5000_2018_negcrop_13,0.0
761_72_5000_2018_negcrop_14,0.0
761_72_5000_2018_negcrop_16,0.0
759_69_0000_2014_crop_2,40.25
759_69_0000_2014_crop_5,0.0
759_69_0000_2014_crop_13,0.25
759_69_0000_2014_crop_14,9.0
759_69_0000_2014_crop_17,0.0
759_69_0000_2014_crop_36,6.25
759_69_0000_2014_negcrop_0,0.0
759_69_0000_2014_negcrop_1,0.0
759_69_0000_2014_negcrop_2,0.0
759_69_0000_2014_negcrop_3,0.0
759_69_0000_2014_negcrop_6,0.0
759_69_0000_2014_negcrop_7,0.0
765_72_2550_2016_crop_59,0.5
765_72_2550_2016_negcrop_0,0.0
757_71_7550_2013_negcrop_0,0.0
756_65_5075_2016_crop_29,1.25
756_65_5075_2016_crop_30,10.5
756_65_5075_2016_crop_41,1.25
756_65_5075_2016_crop_42,9.5
756_65_5075_2016_negcrop_0,0.0
756_65_5075_2016_negcrop_1,0.0
