,palsa_percentage
752_65_7550_2015_negcrop_0,0.0
752_65_7550_2015_negcrop_1,0.0
752_65_7550_2015_negcrop_2,0.0
752_65_7550_2015_negcrop_3,0.0
752_65_7550_2015_negcrop_4,0.0
752_65_7550_2015_negcrop_5,0.0
752_65_7550_2015_negcrop_6,0.0
752_65_7550_2015_crop_7_aug,12.75
752_65_7550_2015_crop_8_aug,2.5
752_65_7550_2015_crop_9_aug,1.75
752_65_7550_2015_crop_10_aug,2.0
752_65_7550_2015_crop_19_aug,7.25
752_65_7550_2015_crop_20_aug,15.0
752_65_7550_2015_crop_32_aug,12.5
765_73_5000_2016_crop_24,14.75
765_73_5000_2016_crop_25,22.5
765_73_5000_2016_crop_26,12.75
765_73_5000_2016_crop_36,31.0
765_73_5000_2016_crop_37,10.75
765_73_5000_2016_crop_38,0.25
765_73_5000_2016_crop_51,0.0
765_73_5000_2016_crop_84,0.0
765_73_5000_2016_negcrop_0,0.0
765_73_5000_2016_negcrop_1,0.0
765_73_5000_2016_negcrop_2,0.0
765_73_5000_2016_negcrop_3,0.0
765_73_5000_2016_negcrop_4,0.0
765_73_5000_2016_negcrop_5,0.0
765_73_5000_2016_negcrop_6,0.0
765_73_5000_2016_negcrop_7,0.0
765_73_5000_2016_crop_24_aug,14.75
765_73_5000_2016_crop_25_aug,22.5
765_73_5000_2016_crop_26_aug,12.75
765_73_5000_2016_crop_36_aug,31.0
765_73_5000_2016_crop_37_aug,10.75
765_73_5000_2016_crop_38_aug,0.25
765_73_5000_2016_crop_51_aug,0.0
765_73_5000_2016_crop_84_aug,0.0
764_74_5075_2018_crop_3,16.5
764_74_5075_2018_crop_4,19.75
764_74_5075_2018_crop_5,3.25
764_74_5075_2018_crop_7,9.5
764_74_5075_2018_crop_8,8.25
764_74_5075_2018_crop_14,32.0
764_74_5075_2018_crop_15,36.0
764_74_5075_2018_crop_16,54.0
764_74_5075_2018_crop_17,46.75
764_74_5075_2018_crop_18,11.0
764_74_5075_2018_crop_26,0.75
764_74_5075_2018_crop_27,10.0
764_74_5075_2018_crop_28,38.25
764_74_5075_2018_crop_29,23.75
764_74_5075_2018_crop_30,15.25
764_74_5075_2018_crop_31,0.75
764_74_5075_2018_crop_42,31.25
764_74_5075_2018_crop_43,26.75
764_74_5075_2018_crop_46,0.5
764_74_5075_2018_crop_47,2.25
764_74_5075_2018_crop_54,24.0
764_74_5075_2018_crop_55,39.75
764_74_5075_2018_crop_65,16.75
764_74_5075_2018_crop_66,28.75
764_74_5075_2018_crop_67,2.75
764_74_5075_2018_crop_68,10.25
764_74_5075_2018_crop_69,4.75
764_74_5075_2018_crop_71,0.5
764_74_5075_2018_crop_77,37.25
764_74_5075_2018_crop_78,28.25
764_74_5075_2018_crop_79,21.25
764_74_5075_2018_crop_80,13.25
764_74_5075_2018_crop_81,7.0
764_74_5075_2018_crop_82,0.0
764_74_5075_2018_crop_83,19.0
764_74_5075_2018_crop_88,18.5
764_74_5075_2018_crop_89,10.25
764_74_5075_2018_crop_90,3.0
764_74_5075_2018_crop_92,1.5
764_74_5075_2018_crop_93,1.75
764_74_5075_2018_crop_100,12.0
764_74_5075_2018_crop_108,4.25
764_74_5075_2018_crop_109,0.25
764_74_5075_2018_crop_110,12.25
764_74_5075_2018_crop_111,8.25
764_74_5075_2018_crop_112,0.25
764_74_5075_2018_crop_120,4.75
764_74_5075_2018_crop_121,36.5
764_74_5075_2018_crop_122,48.25
764_74_5075_2018_crop_123,8.5
764_74_5075_2018_crop_133,5.75
764_74_5075_2018_negcrop_0,0.0
764_74_5075_2018_negcrop_1,0.0
764_74_5075_2018_negcrop_2,0.0
764_74_5075_2018_negcrop_3,0.0
764_74_5075_2018_negcrop_4,0.0
764_74_5075_2018_negcrop_5,0.0
764_74_5075_2018_negcrop_6,0.0
764_74_5075_2018_negcrop_7,0.0
764_74_5075_2018_negcrop_8,0.0
764_74_5075_2018_negcrop_9,0.0
764_74_5075_2018_negcrop_10,0.0
764_74_5075_2018_negcrop_11,0.0
764_74_5075_2018_negcrop_12,0.0
764_74_5075_2018_negcrop_13,0.0
764_74_5075_2018_negcrop_14,0.0
764_74_5075_2018_negcrop_15,0.0
764_74_5075_2018_negcrop_16,0.0
764_74_5075_2018_negcrop_17,0.0
764_74_5075_2018_negcrop_18,0.0
764_74_5075_2018_negcrop_19,0.0
764_74_5075_2018_negcrop_20,0.0
764_74_5075_2018_negcrop_21,0.0
764_74_5075_2018_negcrop_22,0.0
764_74_5075_2018_negcrop_23,0.0
764_74_5075_2018_negcrop_24,0.0
764_74_5075_2018_negcrop_25,0.0
764_74_5075_2018_negcrop_26,0.0
764_74_5075_2018_negcrop_27,0.0
764_74_5075_2018_negcrop_28,0.0
764_74_5075_2018_negcrop_29,0.0
764_74_5075_2018_negcrop_30,0.0
764_74_5075_2018_negcrop_31,0.0
764_74_5075_2018_negcrop_32,0.0
764_74_5075_2018_negcrop_33,0.0
764_74_5075_2018_negcrop_34,0.0
764_74_5075_2018_negcrop_35,0.0
764_74_5075_2018_negcrop_36,0.0
764_74_5075_2018_negcrop_37,0.0
764_74_5075_2018_negcrop_38,0.0
764_74_5075_2018_negcrop_39,0.0
764_74_5075_2018_negcrop_40,0.0
764_74_5075_2018_negcrop_41,0.0
764_74_5075_2018_negcrop_42,0.0
764_74_5075_2018_negcrop_43,0.0
764_74_5075_2018_negcrop_44,0.0
764_74_5075_2018_negcrop_45,0.0
764_74_5075_2018_negcrop_46,0.0
764_74_5075_2018_negcrop_47,0.0
764_74_5075_2018_negcrop_48,0.0
764_74_5075_2018_negcrop_49,0.0
764_74_5075_2018_negcrop_50,0.0
764_74_5075_2018_crop_3_aug,16.5
764_74_5075_2018_crop_4_aug,19.75
764_74_5075_2018_crop_5_aug,3.25
764_74_5075_2018_crop_7_aug,9.5
764_74_5075_2018_crop_8_aug,8.25
764_74_5075_2018_crop_14_aug,32.0
764_74_5075_2018_crop_15_aug,36.0
764_74_5075_2018_crop_16_aug,54.0
764_74_5075_2018_crop_17_aug,46.75
764_74_5075_2018_crop_18_aug,11.0
764_74_5075_2018_crop_26_aug,0.75
764_74_5075_2018_crop_27_aug,10.0
764_74_5075_2018_crop_28_aug,38.25
764_74_5075_2018_crop_29_aug,23.75
764_74_5075_2018_crop_30_aug,15.25
764_74_5075_2018_crop_31_aug,0.75
764_74_5075_2018_crop_42_aug,31.25
764_74_5075_2018_crop_43_aug,26.75
764_74_5075_2018_crop_46_aug,0.5
764_74_5075_2018_crop_47_aug,2.25
764_74_5075_2018_crop_54_aug,24.0
764_74_5075_2018_crop_55_aug,39.75
764_74_5075_2018_crop_65_aug,16.75
764_74_5075_2018_crop_66_aug,28.75
764_74_5075_2018_crop_67_aug,2.75
764_74_5075_2018_crop_68_aug,10.25
764_74_5075_2018_crop_69_aug,4.75
764_74_5075_2018_crop_71_aug,0.5
764_74_5075_2018_crop_77_aug,37.25
764_74_5075_2018_crop_78_aug,28.25
764_74_5075_2018_crop_79_aug,21.25
764_74_5075_2018_crop_80_aug,13.25
764_74_5075_2018_crop_81_aug,7.0
764_74_5075_2018_crop_82_aug,0.0
764_74_5075_2018_crop_83_aug,19.0
764_74_5075_2018_crop_88_aug,18.5
764_74_5075_2018_crop_89_aug,10.25
764_74_5075_2018_crop_90_aug,3.0
764_74_5075_2018_crop_92_aug,1.5
764_74_5075_2018_crop_93_aug,1.75
764_74_5075_2018_crop_100_aug,12.0
764_74_5075_2018_crop_108_aug,4.25
764_74_5075_2018_crop_109_aug,0.25
764_74_5075_2018_crop_110_aug,12.25
764_74_5075_2018_crop_111_aug,8.25
764_74_5075_2018_crop_112_aug,0.25
764_74_5075_2018_crop_120_aug,4.75
764_74_5075_2018_crop_121_aug,36.5
764_74_5075_2018_crop_122_aug,48.25
764_74_5075_2018_crop_123_aug,8.5
764_74_5075_2018_crop_133_aug,5.75
763_73_5000_2018_crop_1,0.0
763_73_5000_2018_crop_5,7.75
763_73_5000_2018_crop_6,2.0
763_73_5000_2018_crop_17,18.0
763_73_5000_2018_crop_18,4.0
763_73_5000_2018_crop_29,7.25
763_73_5000_2018_crop_30,6.0
763_73_5000_2018_crop_35,0.25
763_73_5000_2018_crop_41,1.75
763_73_5000_2018_crop_42,0.0
763_73_5000_2018_crop_46,1.5
763_73_5000_2018_crop_47,3.25
763_73_5000_2018_crop_67,2.25
763_73_5000_2018_crop_82,4.0
763_73_5000_2018_crop_83,8.75
763_73_5000_2018_crop_91,2.25
763_73_5000_2018_crop_92,1.5
763_73_5000_2018_crop_94,0.0
763_73_5000_2018_crop_95,1.5
763_73_5000_2018_crop_96,6.75
763_73_5000_2018_crop_97,11.0
763_73_5000_2018_crop_104,0.0
763_73_5000_2018_crop_108,14.0
763_73_5000_2018_crop_109,3.0
763_73_5000_2018_crop_116,0.0
763_73_5000_2018_crop_128,0.0
763_73_5000_2018_crop_130,12.75
763_73_5000_2018_crop_131,11.25
763_73_5000_2018_crop_143,1.75
763_73_5000_2018_negcrop_0,0.0
763_73_5000_2018_negcrop_1,0.0
763_73_5000_2018_negcrop_2,0.0
763_73_5000_2018_negcrop_3,0.0
763_73_5000_2018_negcrop_4,0.0
763_73_5000_2018_negcrop_5,0.0
763_73_5000_2018_negcrop_6,0.0
763_73_5000_2018_negcrop_7,0.0
763_73_5000_2018_negcrop_8,0.0
763_73_5000_2018_negcrop_9,0.0
763_73_5000_2018_negcrop_10,0.0
763_73_5000_2018_negcrop_11,0.0
763_73_5000_2018_negcrop_12,0.0
763_73_5000_2018_negcrop_13,0.0
763_73_5000_2018_negcrop_14,0.0
763_73_5000_2018_negcrop_15,0.0
763_73_5000_2018_negcrop_16,0.0
763_73_5000_2018_negcrop_17,0.0
763_73_5000_2018_negcrop_18,0.0
763_73_5000_2018_negcrop_19,0.0
763_73_5000_2018_negcrop_20,0.0
763_73_5000_2018_negcrop_21,0.0
763_73_5000_2018_negcrop_22,0.0
763_73_5000_2018_negcrop_23,0.0
763_73_5000_2018_negcrop_24,0.0
763_73_5000_2018_negcrop_25,0.0
763_73_5000_2018_negcrop_26,0.0
763_73_5000_2018_negcrop_27,0.0
763_73_5000_2018_negcrop_28,0.0
763_73_5000_2018_crop_1_aug,0.0
763_73_5000_2018_crop_5_aug,7.75
763_73_5000_2018_crop_6_aug,2.0
763_73_5000_2018_crop_17_aug,18.0
763_73_5000_2018_crop_18_aug,4.0
763_73_5000_2018_crop_29_aug,7.25
763_73_5000_2018_crop_30_aug,6.0
763_73_5000_2018_crop_35_aug,0.25
763_73_5000_2018_crop_41_aug,1.75
763_73_5000_2018_crop_42_aug,0.0
763_73_5000_2018_crop_46_aug,1.5
763_73_5000_2018_crop_47_aug,3.25
763_73_5000_2018_crop_67_aug,2.25
763_73_5000_2018_crop_82_aug,4.0
763_73_5000_2018_crop_83_aug,8.75
763_73_5000_2018_crop_91_aug,2.25
763_73_5000_2018_crop_92_aug,1.5
763_73_5000_2018_crop_94_aug,0.0
763_73_5000_2018_crop_95_aug,1.5
763_73_5000_2018_crop_96_aug,6.75
763_73_5000_2018_crop_97_aug,11.0
763_73_5000_2018_crop_104_aug,0.0
763_73_5000_2018_crop_108_aug,14.0
763_73_5000_2018_crop_109_aug,3.0
763_73_5000_2018_crop_116_aug,0.0
763_73_5000_2018_crop_128_aug,0.0
763_73_5000_2018_crop_130_aug,12.75
763_73_5000_2018_crop_131_aug,11.25
763_73_5000_2018_crop_143_aug,1.75
758_70_0050_2013_crop_37,2.0
758_70_0050_2013_crop_51,0.75
758_70_0050_2013_crop_53,1.5
758_70_0050_2013_crop_62,1.75
758_70_0050_2013_crop_63,5.5
758_70_0050_2013_crop_65,1.75
758_70_0050_2013_crop_74,6.75
758_70_0050_2013_crop_75,12.5
758_70_0050_2013_crop_76,0.75
758_70_0050_2013_crop_86,2.75
758_70_0050_2013_crop_87,25.0
758_70_0050_2013_crop_88,1.25
758_70_0050_2013_crop_91,4.5
758_70_0050_2013_crop_105,6.25
758_70_0050_2013_crop_117,1.5
758_70_0050_2013_crop_118,12.5
758_70_0050_2013_crop_128,0.5
758_70_0050_2013_crop_129,7.5
758_70_0050_2013_crop_130,23.25
758_70_0050_2013_crop_142,0.75
758_70_0050_2013_negcrop_0,0.0
758_70_0050_2013_negcrop_1,0.0
758_70_0050_2013_negcrop_2,0.0
758_70_0050_2013_negcrop_3,0.0
758_70_0050_2013_negcrop_4,0.0
758_70_0050_2013_negcrop_5,0.0
758_70_0050_2013_negcrop_6,0.0
758_70_0050_2013_negcrop_7,0.0
758_70_0050_2013_negcrop_8,0.0
758_70_0050_2013_negcrop_9,0.0
758_70_0050_2013_negcrop_10,0.0
758_70_0050_2013_negcrop_11,0.0
758_70_0050_2013_negcrop_12,0.0
758_70_0050_2013_negcrop_13,0.0
758_70_0050_2013_negcrop_14,0.0
758_70_0050_2013_negcrop_15,0.0
758_70_0050_2013_negcrop_16,0.0
758_70_0050_2013_negcrop_17,0.0
758_70_0050_2013_negcrop_18,0.0
758_70_0050_2013_negcrop_19,0.0
758_70_0050_2013_crop_37_aug,2.0
758_70_0050_2013_crop_51_aug,0.75
758_70_0050_2013_crop_53_aug,1.5
758_70_0050_2013_crop_62_aug,1.75
758_70_0050_2013_crop_63_aug,5.5
758_70_0050_2013_crop_65_aug,1.75
758_70_0050_2013_crop_74_aug,6.75
758_70_0050_2013_crop_75_aug,12.5
758_70_0050_2013_crop_76_aug,0.75
758_70_0050_2013_crop_86_aug,2.75
758_70_0050_2013_crop_87_aug,25.0
758_70_0050_2013_crop_88_aug,1.25
758_70_0050_2013_crop_91_aug,4.5
758_70_0050_2013_crop_105_aug,6.25
758_70_0050_2013_crop_117_aug,1.5
758_70_0050_2013_crop_118_aug,12.5
758_70_0050_2013_crop_128_aug,0.5
758_70_0050_2013_crop_129_aug,7.5
758_70_0050_2013_crop_130_aug,23.25
758_70_0050_2013_crop_142_aug,0.75
750_66_7550_2015_crop_3,1.75
750_66_7550_2015_crop_4,4.25
750_66_7550_2015_crop_24,2.75
750_66_7550_2015_negcrop_0,0.0
750_66_7550_2015_negcrop_1,0.0
750_66_7550_2015_negcrop_2,0.0
750_66_7550_2015_crop_3_aug,1.75
750_66_7550_2015_crop_4_aug,4.25
750_66_7550_2015_crop_24_aug,2.75
762_73_0050_2018_crop_120,0.0
762_73_0050_2018_crop_121,1.0
762_73_0050_2018_negcrop_0,0.0
762_73_0050_2018_negcrop_1,0.0
762_73_0050_2018_crop_120_aug,0.0
762_73_0050_2018_crop_121_aug,1.0
762_72_2500_2018_crop_61,11.25
762_72_2500_2018_crop_67,0.25
762_72_2500_2018_crop_84,17.75
762_72_2500_2018_crop_85,0.25
762_72_2500_2018_crop_96,3.0
762_72_2500_2018_crop_97,3.25
762_72_2500_2018_negcrop_0,0.0
762_72_2500_2018_negcrop_1,0.0
762_72_2500_2018_negcrop_2,0.0
762_72_2500_2018_negcrop_3,0.0
762_72_2500_2018_negcrop_4,0.0
762_72_2500_2018_negcrop_5,0.0
762_72_2500_2018_crop_61_aug,11.25
762_72_2500_2018_crop_67_aug,0.25
762_72_2500_2018_crop_84_aug,17.75
762_72_2500_2018_crop_85_aug,0.25
762_72_2500_2018_crop_96_aug,3.0
762_72_2500_2018_crop_97_aug,3.25
761_72_0050_2018_crop_15,15.0
761_72_0050_2018_crop_24,0.0
761_72_0050_2018_crop_25,0.0
761_72_0050_2018_crop_26,4.5
761_72_0050_2018_crop_27,4.25
761_72_0050_2018_crop_36,0.5
761_72_0050_2018_crop_37,2.25
761_72_0050_2018_crop_38,3.25
761_72_0050_2018_crop_39,3.5
761_72_0050_2018_crop_47,4.25
761_72_0050_2018_crop_48,6.5
761_72_0050_2018_crop_49,12.75
761_72_0050_2018_crop_50,10.0
761_72_0050_2018_crop_51,1.5
761_72_0050_2018_crop_53,0.0
761_72_0050_2018_crop_61,2.0
761_72_0050_2018_crop_64,0.0
761_72_0050_2018_crop_66,0.0
761_72_0050_2018_crop_83,1.5
761_72_0050_2018_crop_84,19.0
761_72_0050_2018_crop_85,30.0
761_72_0050_2018_crop_86,1.5
761_72_0050_2018_crop_87,3.5
761_72_0050_2018_crop_88,1.5
761_72_0050_2018_crop_92,2.5
761_72_0050_2018_crop_96,46.75
761_72_0050_2018_crop_97,36.5
761_72_0050_2018_crop_98,8.25
761_72_0050_2018_crop_99,33.25
761_72_0050_2018_crop_100,4.0
761_72_0050_2018_crop_101,1.0
761_72_0050_2018_crop_104,1.25
761_72_0050_2018_crop_105,0.0
761_72_0050_2018_crop_106,4.0
761_72_0050_2018_crop_107,0.75
761_72_0050_2018_crop_108,14.5
761_72_0050_2018_crop_109,8.75
761_72_0050_2018_crop_110,11.75
761_72_0050_2018_crop_111,3.5
761_72_0050_2018_crop_112,0.25
761_72_0050_2018_crop_118,0.0
761_72_0050_2018_crop_119,24.25
761_72_0050_2018_crop_120,11.5
761_72_0050_2018_crop_121,0.0
761_72_0050_2018_crop_122,8.5
761_72_0050_2018_crop_123,3.5
761_72_0050_2018_crop_129,2.75
761_72_0050_2018_crop_130,1.0
761_72_0050_2018_crop_131,33.5
761_72_0050_2018_crop_132,1.0
761_72_0050_2018_crop_133,0.0
761_72_0050_2018_crop_134,19.75
761_72_0050_2018_crop_135,6.75
761_72_0050_2018_crop_136,6.5
761_72_0050_2018_crop_137,0.5
761_72_0050_2018_crop_143,7.25
761_72_0050_2018_negcrop_0,0.0
761_72_0050_2018_negcrop_1,0.0
761_72_0050_2018_negcrop_2,0.0
761_72_0050_2018_negcrop_3,0.0
761_72_0050_2018_negcrop_4,0.0
761_72_0050_2018_negcrop_5,0.0
761_72_0050_2018_negcrop_6,0.0
761_72_0050_2018_negcrop_7,0.0
761_72_0050_2018_negcrop_8,0.0
761_72_0050_2018_negcrop_9,0.0
761_72_0050_2018_negcrop_10,0.0
761_72_0050_2018_negcrop_11,0.0
761_72_0050_2018_negcrop_12,0.0
761_72_0050_2018_negcrop_13,0.0
761_72_0050_2018_negcrop_14,0.0
761_72_0050_2018_negcrop_15,0.0
761_72_0050_2018_negcrop_16,0.0
761_72_0050_2018_negcrop_17,0.0
761_72_0050_2018_negcrop_18,0.0
761_72_0050_2018_negcrop_19,0.0
761_72_0050_2018_negcrop_20,0.0
761_72_0050_2018_negcrop_21,0.0
761_72_0050_2018_negcrop_22,0.0
761_72_0050_2018_negcrop_23,0.0
761_72_0050_2018_negcrop_24,0.0
761_72_0050_2018_negcrop_25,0.0
761_72_0050_2018_negcrop_26,0.0
761_72_0050_2018_negcrop_27,0.0
761_72_0050_2018_negcrop_28,0.0
761_72_0050_2018_negcrop_29,0.0
761_72_0050_2018_negcrop_30,0.0
761_72_0050_2018_negcrop_31,0.0
761_72_0050_2018_negcrop_32,0.0
761_72_0050_2018_negcrop_33,0.0
761_72_0050_2018_negcrop_34,0.0
761_72_0050_2018_negcrop_35,0.0
761_72_0050_2018_negcrop_36,0.0
761_72_0050_2018_negcrop_37,0.0
761_72_0050_2018_negcrop_38,0.0
761_72_0050_2018_negcrop_39,0.0
761_72_0050_2018_negcrop_40,0.0
761_72_0050_2018_negcrop_41,0.0
761_72_0050_2018_negcrop_42,0.0
761_72_0050_2018_negcrop_43,0.0
761_72_0050_2018_negcrop_44,0.0
761_72_0050_2018_negcrop_45,0.0
761_72_0050_2018_negcrop_46,0.0
761_72_0050_2018_negcrop_47,0.0
761_72_0050_2018_negcrop_48,0.0
761_72_0050_2018_negcrop_49,0.0
761_72_0050_2018_negcrop_50,0.0
761_72_0050_2018_negcrop_51,0.0
761_72_0050_2018_negcrop_52,0.0
761_72_0050_2018_negcrop_53,0.0
761_72_0050_2018_negcrop_54,0.0
761_72_0050_2018_negcrop_55,0.0
761_72_0050_2018_crop_15_aug,15.0
761_72_0050_2018_crop_24_aug,0.0
761_72_0050_2018_crop_25_aug,0.0
761_72_0050_2018_crop_26_aug,4.5
761_72_0050_2018_crop_27_aug,4.25
761_72_0050_2018_crop_36_aug,0.5
761_72_0050_2018_crop_37_aug,2.25
761_72_0050_2018_crop_38_aug,3.25
761_72_0050_2018_crop_39_aug,3.5
761_72_0050_2018_crop_47_aug,4.25
761_72_0050_2018_crop_48_aug,6.5
761_72_0050_2018_crop_49_aug,12.75
761_72_0050_2018_crop_50_aug,10.0
761_72_0050_2018_crop_51_aug,1.5
761_72_0050_2018_crop_53_aug,0.0
761_72_0050_2018_crop_61_aug,2.0
761_72_0050_2018_crop_64_aug,0.0
761_72_0050_2018_crop_66_aug,0.0
761_72_0050_2018_crop_83_aug,1.5
761_72_0050_2018_crop_84_aug,19.0
761_72_0050_2018_crop_85_aug,30.0
761_72_0050_2018_crop_86_aug,1.5
761_72_0050_2018_crop_87_aug,3.5
761_72_0050_2018_crop_88_aug,1.5
761_72_0050_2018_crop_92_aug,2.5
761_72_0050_2018_crop_96_aug,46.75
761_72_0050_2018_crop_97_aug,36.5
761_72_0050_2018_crop_98_aug,8.25
761_72_0050_2018_crop_99_aug,33.25
761_72_0050_2018_crop_100_aug,4.0
761_72_0050_2018_crop_101_aug,1.0
761_72_0050_2018_crop_104_aug,1.25
761_72_0050_2018_crop_105_aug,0.0
761_72_0050_2018_crop_106_aug,4.0
761_72_0050_2018_crop_107_aug,0.75
761_72_0050_2018_crop_108_aug,14.5
761_72_0050_2018_crop_109_aug,8.75
761_72_0050_2018_crop_110_aug,11.75
761_72_0050_2018_crop_111_aug,3.5
761_72_0050_2018_crop_112_aug,0.25
761_72_0050_2018_crop_118_aug,0.0
761_72_0050_2018_crop_119_aug,24.25
761_72_0050_2018_crop_120_aug,11.5
761_72_0050_2018_crop_121_aug,0.0
761_72_0050_2018_crop_122_aug,8.5
761_72_0050_2018_crop_123_aug,3.5
